frame_id,angle,public,torque,speed,File
1.48e+18,-0.01692803,0,,,1479425441182877835.jpg
1.48e+18,-0.015707964,0,,,1479425441232704425.jpg
1.48e+18,-0.015707964,0,,,1479425441282730750.jpg
1.48e+18,-0.015707964,1,,,1479425441332806714.jpg
1.48e+18,-0.015707964,0,,,1479425441382790272.jpg
1.48e+18,-0.017453292,0,,,1479425441432724303.jpg
1.48e+18,-0.019198623,1,,,1479425441482746958.jpg
1.48e+18,-0.020536613,0,,,1479425441532802506.jpg
1.48e+18,-0.023136996,0,,,1479425441582725165.jpg
1.48e+18,-0.029243074,1,,,1479425441632720892.jpg
1.48e+18,-0.041008929,1,,,1479425441682732948.jpg
1.48e+18,-0.051490558,0,,,1479425441732800574.jpg
1.48e+18,-0.054105207,0,,,1479425441782737331.jpg
1.48e+18,-0.054105207,0,,,1479425441832816004.jpg
1.48e+18,-0.054105207,0,,,1479425441882830087.jpg
1.48e+18,-0.054105207,0,,,1479425441932849879.jpg
1.48e+18,-0.052359879,0,,,1479425441982783223.jpg
1.48e+18,-0.052359879,0,,,1479425442032874172.jpg
1.48e+18,-0.051979087,0,,,1479425442082758552.jpg
1.48e+18,-0.047615216,0,,,1479425442132852121.jpg
1.48e+18,-0.041158639,1,,,1479425442182761838.jpg
1.48e+18,-0.033669147,1,,,1479425442232828524.jpg
1.48e+18,-0.029670598,1,,,1479425442282862682.jpg
1.48e+18,-0.029670598,1,,,1479425442332893792.jpg
1.48e+18,-0.029670598,1,,,1479425442382858459.jpg
1.48e+18,-0.029670598,1,,,1479425442432797491.jpg
1.48e+18,-0.029670598,1,,,1479425442482899263.jpg
1.48e+18,-0.029670598,1,,,1479425442532771570.jpg
1.48e+18,-0.029670598,0,,,1479425442582809345.jpg
1.48e+18,-0.029670598,1,,,1479425442632821093.jpg
1.48e+18,-0.027925268,0,,,1479425442682747552.jpg
1.48e+18,-0.029080314,1,,,1479425442732806572.jpg
1.48e+18,-0.031415928,1,,,1479425442782862182.jpg
1.48e+18,-0.031415928,1,,,1479425442832833025.jpg
1.48e+18,-0.029938993,0,,,1479425442882822631.jpg
1.48e+18,-0.032550198,1,,,1479425442932809867.jpg
1.48e+18,-0.033161256,1,,,1479425442982805056.jpg
1.48e+18,-0.033161256,1,,,1479425443032823520.jpg
1.48e+18,-0.034906585,1,,,1479425443082812203.jpg
1.48e+18,-0.034906585,0,,,1479425443132827444.jpg
1.48e+18,-0.04582845,1,,,1479425443182854411.jpg
1.48e+18,-0.052359879,1,,,1479425443232861030.jpg
1.48e+18,-0.046907211,1,,,1479425443282879357.jpg
1.48e+18,-0.040805195,0,,,1479425443332896491.jpg
1.48e+18,-0.039941745,0,,,1479425443382879593.jpg
1.48e+18,-0.038397245,0,,,1479425443432903742.jpg
1.48e+18,-0.038199009,0,,,1479425443483016593.jpg
1.48e+18,-0.032778636,0,,,1479425443533017775.jpg
1.48e+18,-0.027746405,0,,,1479425443582977575.jpg
1.48e+18,-0.024434609,0,,,1479425443632945821.jpg
1.48e+18,-0.022689281,1,,,1479425443682982187.jpg
1.48e+18,-0.019925133,0,,,1479425443732869219.jpg
1.48e+18,-0.019198623,1,,,1479425443782898808.jpg
1.48e+18,-0.019198623,1,,,1479425443833012205.jpg
1.48e+18,-0.019068693,1,,,1479425443882914607.jpg
1.48e+18,-0.017453292,1,,,1479425443933132143.jpg
1.48e+18,-0.017453292,0,,,1479425443983182782.jpg
1.48e+18,-0.019198623,0,,,1479425444033115695.jpg
1.48e+18,-0.019198623,1,,,1479425444083198332.jpg
1.48e+18,-0.019198623,1,,,1479425444133127546.jpg
1.48e+18,-0.019198623,1,,,1479425444183146275.jpg
